,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,avarua,0,CK,1549927800,70,-21.21,-159.78,84.2,12.75
1,ulaangom,24,MN,1549930449,45,49.98,92.07,-32.1,0.72
2,sorland,75,NO,1549925400,64,67.67,12.69,33.8,21.92
3,tiksi,44,RU,1549930449,74,71.64,128.87,-17.11,13.13
4,georgetown,75,GY,1549926000,83,6.8,-58.16,77.0,16.11
5,rocha,88,UY,1549930446,97,-34.48,-54.34,66.64,17.27
6,mataura,64,NZ,1549930450,64,-46.19,168.86,75.23,5.19
7,punta arenas,0,CL,1549926360,53,-53.16,-70.91,51.8,31.09
8,novoagansk,88,RU,1549930451,79,61.94,76.66,-0.73,6.98
9,ilfracombe,0,GB,1549927200,93,51.21,-4.13,41.0,2.24
10,torbay,90,CA,1549926000,66,47.66,-52.73,14.0,21.92
11,leh,56,IN,1549930452,75,34.16,77.58,-13.6,0.38
12,qaanaaq,0,GL,1549930452,81,77.48,-69.36,-9.19,8.66
13,nikolskoye,75,RU,1549927800,96,59.7,30.79,33.8,11.18
14,kapaa,75,US,1549929180,47,22.08,-159.32,78.8,16.11
15,ribeira grande,40,PT,1549927800,82,38.52,-28.7,57.2,4.7
16,saint george,75,GR,1549925400,66,39.45,22.34,53.6,5.82
17,bom jardim,0,BR,1549926000,73,-7.8,-35.59,75.2,14.99
18,yevlax,90,AZ,1549926000,93,40.61,47.15,37.4,5.82
19,bluff,0,AU,1549930454,50,-23.58,149.07,87.7,4.63
20,alugan,76,PH,1549930454,88,12.22,125.48,78.25,15.59
21,winnemucca,1,US,1549925760,51,40.97,-117.74,33.98,10.29
22,tuatapere,88,NZ,1549930455,77,-46.13,167.69,65.78,3.18
23,annau,90,TM,1549926000,93,37.89,58.52,44.6,11.41
24,broken hill,0,AU,1549926000,22,-31.97,141.45,80.6,17.22
25,busselton,20,AU,1549930456,100,-33.64,115.35,60.25,9.78
26,upernavik,0,GL,1549930456,100,72.79,-56.15,-2.17,11.01
27,vila do maio,0,CV,1549926000,23,15.13,-23.22,73.4,10.29
28,rikitea,100,PF,1549930457,100,-23.12,-134.97,74.11,15.14
29,coquimbo,0,CL,1549926000,72,-29.95,-71.34,66.2,9.33
30,kuryk,32,KZ,1549930457,100,43.18,51.68,29.56,3.62
31,magdagachi,0,RU,1549930458,66,53.45,125.8,-9.37,5.64
32,garissa,0,KE,1549930458,59,-0.46,39.64,76.45,10.11
33,katsuura,20,JP,1549928340,48,33.93,134.5,42.8,20.8
34,the pas,1,CA,1549926000,54,53.82,-101.24,3.2,4.7
